FID,OBJECTID,Join_Count,TARGET_FID,Shape_Leng,ADM2_EN,ADM2_PCODE,ADM2_REF,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,date,validOn,SD_EN,SD_PCODE,area,area_1,area_2,area_3,longitude,latitude,nga_genera,Shape_Le_1,Shape_Area,ADM1_PCO_1,ADM1_EN_1,District__,Flooded_Ar,Flooded_Cr,Total_in_D,Children__,Elderly___,lon,lat
0,4,0,90,3.149546,Bama,NG008003,Bama,Borno,NG008,Nigeria,NG,29/11/2016,17/04/2019,Borno Central,NG00801,0,0,5225.627863,5225.627863,0,0,0,3.149546,0.415834,NG008,Borno,Bama,22524,2630,10347,545,3597,14.102381,11.544441
1,10,0,145,3.952172,Damboa,NG008007,Damboa,Borno,NG008,Nigeria,NG,29/11/2016,17/04/2019,Borno South,NG00803,0,0,6047.733853,6047.733853,0,0,0,3.952172,0.481961,NG008,Borno,Damboa,2270,410,777,32,269,12.747734,11.129921
2,12,0,159,1.994908,Dikwa,NG008008,Dikwa,Borno,NG008,Nigeria,NG,29/11/2016,17/04/2019,Borno Central,NG00801,0,0,1974.600413,1974.600413,0,0,0,1.994908,0.156913,NG008,Borno,Dikwa,28300,5854,27350,1240,9685,14.036682,11.921602
3,18,0,243,1.478029,Girei,NG002005,Girei,Adamawa,NG002,Nigeria,NG,29/11/2016,17/04/2019,Adamawa Central,NG00201,0,0,1226.203628,1226.203628,0,0,0,1.478029,0.098248,NG002,Adamawa,Girei,15897,326,54901,2058,15867,12.479171,9.451596
4,21,0,251,2.641218,Gujba,NG036007,Gujba,Yobe,NG036,Nigeria,NG,29/11/2016,17/04/2019,Yobe East,NG03601,0,0,3608.369238,3608.369238,0,0,0,2.641218,0.287318,NG036,Yobe,Gujba,480,287,231,9,76,11.961377,11.37054
5,25,0,270,2.185716,Gwoza,NG008011,Gwoza,Borno,NG008,Nigeria,NG,29/11/2016,17/04/2019,Borno South,NG00803,0,0,3046.112995,3046.112995,0,0,0,2.185716,0.242719,NG008,Borno,Gwoza,1706,448,904,42,307,13.584821,11.169988
6,30,0,387,1.889572,Jere,NG008013,Jere,Borno,NG008,Nigeria,NG,29/11/2016,17/04/2019,Borno Central,NG00801,0,0,880.582692,880.582692,0,0,0,1.889572,0.069979,NG008,Borno,Jere,10425,1606,58859,2386,19519,13.170277,11.911452
7,31,0,399,2.325551,Kaga,NG008014,Kaga,Borno,NG008,Nigeria,NG,29/11/2016,17/04/2019,Borno Central,NG00801,0,0,2683.239453,2683.239453,0,0,0,2.325551,0.213446,NG008,Borno,Kaga,447,306,124,5,43,12.475833,11.640636
8,34,0,439,5.285051,Konduga,NG008016,Konduga,Borno,NG008,Nigeria,NG,29/11/2016,17/04/2019,Borno Central,NG00801,0,0,6208.950437,6208.950437,0,0,0,5.285051,0.493959,NG008,Borno,Konduga,38228,5752,11076,571,3721,13.084694,11.61235
9,40,0,474,2.460498,Mafa,NG008019,Mafa,Borno,NG008,Nigeria,NG,29/11/2016,17/04/2019,Borno Central,NG00801,0,0,2981.753645,2981.753645,0,0,0,2.460498,0.23687,NG008,Borno,Mafa,65046,12371,66314,2920,22482,13.534994,12.008573
10,42,0,478,0.519518,Maiduguri,NG008021,Maiduguri,Borno,NG008,Nigeria,NG,29/11/2016,17/04/2019,Borno Central,NG00801,0,0,145.967749,145.967749,0,0,0,0.519518,0.011603,NG008,Borno,Maiduguri,410,102,26384,1104,8738,13.120344,11.836527
11,47,0,506,2.534845,Mobbar,NG008023,Mobbar,Borno,NG008,Nigeria,NG,29/11/2016,17/04/2019,Borno North,NG00802,0,0,2849.502472,2849.502472,0,0,0,2.534845,0.225422,NG008,Borno,Mobbar,21094,9732,33840,1452,11824,12.690167,13.068784
12,48,0,508,2.423728,Monguno,NG008024,Monguno,Borno,NG008,Nigeria,NG,29/11/2016,17/04/2019,Borno North,NG00802,0,0,1985.186262,1985.186262,0,0,0,2.423728,0.157379,NG008,Borno,Monguno,21646,6161,21849,1025,7288,13.619736,12.542118
13,52,0,524,1.807494,Ngala,NG008025,Ngala,Borno,NG008,Nigeria,NG,29/11/2016,17/04/2019,Borno Central,NG00801,0,0,1510.905873,1510.905873,0,0,0,1.807494,0.11992,NG008,Borno,Ngala,10093,2275,19441,822,7111,14.179493,12.240025
14,55,0,541,1.602772,Numan,NG002016,Numan,Adamawa,NG002,Nigeria,NG,29/11/2016,17/04/2019,Adamawa South,NG00203,0,0,857.458447,857.458447,0,0,0,1.602772,0.068704,NG002,Adamawa,Numan,29229,6482,45564,2201,14202,11.819658,9.442125
15,62,0,762,0.274343,Yola North,NG002020,Yola North,Adamawa,NG002,Nigeria,NG,29/11/2016,17/04/2019,Adamawa Central,NG00201,0,0,65.210868,65.210868,0,0,0,0.274343,0.005228,NG002,Adamawa,Yola North,544,0,12296,475,3600,12.439882,9.257108
16,63,0,763,1.657038,Yola South,NG002021,Yola South,Adamawa,NG002,Nigeria,NG,29/11/2016,17/04/2019,Adamawa Central,NG00201,0,0,955.63753,955.63753,0,0,0,1.657038,0.076612,NG002,Adamawa,Yola South,5442,362,50956,1660,13788,12.33661,9.260374
17,1,1,2,3.075316,Abadam,NG008001,Abadam,Borno,NG008,Nigeria,NG,29/11/2016,17/04/2019,Borno North,NG00802,0,0,4138.043933,4138.043933,13.461528,13.701806,15.772732,3.075316,0.326868,NG008,Borno,Abadam,11365,147,2199,99,756,13.3229,13.428835
18,3,0,82,1.901654,Bade,NG036001,Bade,Yobe,NG036,Nigeria,NG,29/11/2016,17/04/2019,Yobe North,NG03602,0,0,875.871041,875.871041,0,0,0,1.901654,0.069385,NG036,Yobe,Bade,50476,6708,147064,6013,50619,10.886229,12.730136
