FID,Shape *,OBJECTID_1,OBJECTID,Join_Count,TARGET_FID,Shape_Leng,ADM2_EN,ADM2_PCODE,ADM2_REF,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,date,validOn,SD_EN,SD_PCODE,area,area_1,area_2,area_3,longitude,latitude,nga_genera,Shape_Le_1,State,LGAs,IDPs,Field4,ORIG_FID,lon,lat
0,Point,1,2,0,68,2.713605,Askira/Uba,NG008002,Askira/Uba,Borno,NG008,Nigeria,NG,29/11/2016,17/04/2019,Borno South,NG00803,0,0,2587.301217,2587.301217,0,0,0,2.713605,Borno,Askira/Uba,10866, ,0,12.943247,10.64765
1,Point,2,4,0,90,3.149546,Bama,NG008003,Bama,Borno,NG008,Nigeria,NG,29/11/2016,17/04/2019,Borno Central,NG00801,0,0,5225.627863,5225.627863,0,0,0,3.149546,Borno,Bama,155400, ,1,14.102381,11.544441
2,Point,3,9,0,142,2.050496,Damaturu,NG036003,Damaturu,Yobe,NG036,Nigeria,NG,29/11/2016,17/04/2019,Yobe South,NG03603,0,0,2445.9094,2445.9094,0,0,0,2.050496,Yobe,Damaturu,31226, ,2,12.014315,11.833227
3,Point,4,10,0,145,3.952172,Damboa,NG008007,Damboa,Borno,NG008,Nigeria,NG,29/11/2016,17/04/2019,Borno South,NG00803,0,0,6047.733853,6047.733853,0,0,0,3.952172,Borno,Damboa,106187, ,3,12.747734,11.129921
4,Point,5,12,0,159,1.994908,Dikwa,NG008008,Dikwa,Borno,NG008,Nigeria,NG,29/11/2016,17/04/2019,Borno Central,NG00801,0,0,1974.600413,1974.600413,0,0,0,1.994908,Borno,Dikwa,79770, ,4,14.036682,11.921602
5,Point,6,18,0,243,1.478029,Girei,NG002005,Girei,Adamawa,NG002,Nigeria,NG,29/11/2016,17/04/2019,Adamawa Central,NG00201,0,0,1226.203628,1226.203628,0,0,0,1.478029,Adamawa,Girei,20365, ,5,12.479171,9.451596
6,Point,7,21,0,251,2.641218,Gujba,NG036007,Gujba,Yobe,NG036,Nigeria,NG,29/11/2016,17/04/2019,Yobe East,NG03601,0,0,3608.369238,3608.369238,0,0,0,2.641218,Yobe,Gujba,41909, ,6,11.961377,11.37054
7,Point,8,25,0,270,2.185716,Gwoza,NG008011,Gwoza,Borno,NG008,Nigeria,NG,29/11/2016,17/04/2019,Borno South,NG00803,0,0,3046.112995,3046.112995,0,0,0,2.185716,Borno,Gwoza,147136, ,7,13.584821,11.169988
8,Point,9,27,0,273,2.233111,Hong,NG002007,Hong,Adamawa,NG002,Nigeria,NG,29/11/2016,17/04/2019,Adamawa Central,NG00201,0,0,2747.767391,2747.767391,0,0,0,2.233111,Adamawa,Hong,5208, ,8,12.933159,10.299015
9,Point,10,30,0,387,1.889572,Jere,NG008013,Jere,Borno,NG008,Nigeria,NG,29/11/2016,17/04/2019,Borno Central,NG00801,0,0,880.582692,880.582692,0,0,0,1.889572,Borno,Jere,219416, ,9,13.170277,11.911452
10,Point,11,31,0,399,2.325551,Kaga,NG008014,Kaga,Borno,NG008,Nigeria,NG,29/11/2016,17/04/2019,Borno Central,NG00801,0,0,2683.239453,2683.239453,0,0,0,2.325551,Borno,Kaga,21042, ,10,12.475833,11.640636
11,Point,12,32,0,405,1.871731,Kala/Balge,NG008015,Kala/Balge,Borno,NG008,Nigeria,NG,29/11/2016,17/04/2019,Borno Central,NG00801,0,0,1962.783162,1962.783162,0,0,0,1.871731,Borno,Kala/Balge,37758, ,11,14.480684,12.040518
