FID,Status,Narrative,Date_Time_,Quarter,Date_Time1,Location_1,Location_2,Location_3,Location_4,Location_5,Location_6,Location_7,Location_8,Location_9,Locatio_10,Locatio_11,Locatio_12,Func__Loca,Location_L,Locatio_13,Location_N,Actor_1__P,Actor_1__1,Actor_1__2,Actor_1__3,Actor_2__T,Actor_2__1,Actor_2__2,Actor_2__3,Act_OLD_1,Act_OLD_2,Act_OLD_3,Act_OLD_Mo,Act_1,Act_2,Act_3,Act_4,Act_Mode,NGO_Incide,Section,Region,Inserted_O,Inserted_1,Incident,lon,lat
0,Verified,"GF/NA, together with CJTF, acting on a tip-off, ambushed OAG operatives on motorcycles while they were crossing a road, prompting the operatives to return fire. The exchange lasted for several minutes until the operatives retreated. During the armed clas",31/12/2022,4th,23:00,Nigeria,nga,Borno,NG008,Konduga,NG008016,Komala,NGA19473, , , , ,Road/Roadside,11.48847,12.96725, ,Government Forces,Army,Nigerian Army (NA), ,OAG,Unknown OAG (NGA), , , , , , ,Attack,Small Arms & Light Weapons,Small Arms, ,Perpetrated, ,MAIDUGURI - DAMBOA RD, ,01/01/2023,09:12,nga:63b1428a,12.96725,11.48847
3,Verified,"Five OAG operatives, one of them with a rifle and on foot, arrived at the outskirts of the location and attempted to ambush commercial vehicles in transit. Shortly after, Vigilantes, following a tip-off, deployed and engaged the operatives. They exchange",31/12/2022,4th,13:00,Nigeria,nga,Borno,NG008,Gwoza,NG008011,Limankara,NGA17216, , , , ,Population Centre Outskirts,10.980516,13.663067,IVO Takaskala ward.,OAG,Unknown OAG (NGA), , ,General Public,Other General Public, , , , , , ,Attack,Small Arms & Light Weapons,Small Arms, ,Perpetrated, , , ,31/12/2022,23:19,nga:63b0b7a2,13.663067,10.980516
4,Verified,"OAG operatives with rifles set up an informal VCP along the road. They stopped several commercial vehicles in transit, searched the passengers, and asked for their identification before allowing them to continue their journey. Subsequently, the operative",31/12/2022,4th,13:00,Nigeria,nga,Borno,NG008,Magumeri,NG008020,Kinjimiram,NGAKi1660302589023, , , , ,Vehicle Check Point (VCP),12.3604,13.13977, ,OAG,Unknown OAG (NGA), , ,General Public,Other General Public, , , , , , ,Confine,Abduction,Unresolved Abduction, ,Perpetrated, ,MAIDUGURI - GAJIRAM RD, ,12/01/2023,09:53,nga:63bfcdd4,13.13977,12.3604
5,Verified,Several OAG operatives with rifles arrived at a lumbering site and abducted at least ten male loggers and carjacked three pickup trucks while the rest fled.,31/12/2022,4th,10:00,Nigeria,nga,Borno,NG008,Mafa,NG008019,Mafa,NGA20464, , , , ,N/A,11.923903,13.600244,IVO Katakarwa village.,OAG,Unknown OAG (NGA), , ,General Public,Other General Public, , , , , , ,Confine,Abduction,Unresolved Abduction, ,Perpetrated, , , ,01/01/2023,10:59,nga:63b15c10,13.600244,11.923903
6,Verified,"GF/NPF, acting on a tip-off, arrested a male individual in a commercial vehicle in transit with fifteen cartons of ready-to-use therapeutic food. He is suspected of stealing them.",31/12/2022,4th,10:00,Nigeria,nga,Borno,NG008,Kaga,NG008014,Benisheikh,NGA18633, , , , ,Vehicle Check Point (VCP),11.80847,12.49167, ,Government Forces,Police,Nigerian Police Force (NPF), ,Criminal,Individual Criminal(s), , , , , , ,Confine,Arrest (lawful), , ,Perpetrated, ,MAIDUGURI - NGAMDU RD, ,05/01/2023,11:22,nga:63b6a533,12.49167,11.80847
7,Verified,"Two male civilians who escaped from OAG captivity approached a GF/NA position and reported themselves. The date, location, and circumstances surrounding their abduction remain unknown.",31/12/2022,4th,05:00,Nigeria,nga,Borno,NG008,Abadam,NG008001,Mallam Fatori,NGA12505, , , , ,Minor Outpost or Camp (Any actor),13.674595,13.339517,GF position,Government Forces,Army,Nigerian Army (NA), ,General Public,Other General Public, , , , , , ,Recover / Seize, , , ,Perpetrated, , , ,05/01/2023,15:26,nga:63b6e14f,13.339517,13.674595
8,Verified,"GF/NA arrested two male OAG spies within the town. Upon further interrogation, the herdsmen confessed to having been paid twenty thousand naira each to find information about GF positions, routes, and easy access for OAG attacks.",31/12/2022,4th, ,Nigeria,nga,Borno,NG008,Monguno,NG008024,Monguno,NGA22707, , , , ,N/A,12.671276,13.616704, ,Government Forces,Army,Nigerian Army (NA), ,OAG,Unknown OAG (NGA), , , , , , ,Confine,Arrest (lawful), , ,Perpetrated, , , ,01/01/2023,11:25,nga:63b16090,13.616704,12.671276
9,Verified,GF/NA fired three artillery projectiles toward the Kuranabasa Mountains upon sighting suspicious OAG movements. No casualties were reported.,31/12/2022,4th, ,Nigeria,nga,Borno,NG008,Gwoza,NG008011,Gwoza,NGA17121, , , , ,Population Centre Outskirts,11.08309,13.694164, ,Government Forces,Army,Nigerian Army (NA), ,OAG,Unknown OAG (NGA), , , , , , ,Attack,"Artillery, Rockets & Missiles",Artillery, ,Perpetrated, , , ,01/01/2023,12:01,nga:63b16a1a,13.694164,11.08309
11,Verified,"OAG operatives with rifles arrived at the outskirts of the location and fired shots sporadically into the air, prompting the civilians to flee. Subsequently, the operatives stole foodstuff and cattle. Shortly, the vigilante members from Duhu town deploye",30/12/2022,4th,22:00,Nigeria,nga,Adamawa,NG002,Madagali,NG002010,Kuda,NGA11151, , , , ,N/A,10.815858,13.390754, ,OAG,Unknown OAG (NGA), , ,General Public,Other General Public, , , , , , ,Theft,Armed Robbery (Firearm), , ,Attempted, , , ,31/12/2022,20:46,nga:63b0955b,13.390754,10.815858
12,Verified,"GF/NA fired a few shots towards the outskirts of the town upon sighting OAG operatives armed with rifles on motorcycles, bicycles, foot, and with carts. The operatives arrived at the location and stole crops from a farmland but did not return fire.",30/12/2022,4th,21:00,Nigeria,nga,Borno,NG008,Konduga,NG008016,Bazamri,NGA19226, , , , ,Population Centre Outskirts,11.6743,13.4526, ,Government Forces,Army,Nigerian Army (NA), ,OAG,Unknown OAG (NGA), , , , , , ,Attack,Small Arms & Light Weapons,Small Arms, ,Perpetrated, , , ,01/01/2023,10:53,nga:63b15914,13.4526,11.6743
