LGAs_Shape,LGAs_ADM2_,LGAs_ADM21,LGAs_ADM_1,LGAs_ADM1_,LGAs_SD_EN,LGAs_area1,LGAs_are_1,partners_c,partners_1,partners_2,lat,long
2.713604744,Askira/Uba,NG008002,Askira/Uba,Borno,Borno South,2587.301217,2587.301217,Askira/Uba,"ACF, DRC, eHealth Africa, IRC, JRS, PI, TWB",7,10.64765035,12.94324697
3.14954576,Bama,NG008003,Bama,Borno,Borno Central,5225.627863,5225.627863,Bama,"ACF, CIVIC, CARE, DRC, eHealth Africa, FHI 360, HKI, IA, IRC,INTERSOS, MC, MAG, PI, PUI, TWB",15,11.54444124,14.10238088
2.050496446,Damaturu,NG036003,Damaturu,Yobe,Yobe South,2445.9094,2445.9094,Damaturu,"ACF, CBMI, CIVIC, CARE, COOPI, DRC, eHealth Africa, HAI, IA, IRC, MSION, MC, NI, PI, RDHI, SCI, SFCG, TWB, WAN",19,11.83322658,12.0143152
3.952171649,Damboa,NG008007,Damboa,Borno,Borno South,6047.733853,6047.733853,Damboa,"ACF, CIVIC, eHealth Africa,IMC, MDM, MC, MAG, PI, PUI, SCI, SC",11,11.12992057,12.74773361
1.994908477,Dikwa,NG008008,Dikwa,Borno,Borno Central,1974.600413,1974.600413,Dikwa,"ACTED, ACF, CIVIC, CARE, DRC, eHealth Africa, FHI 360, IA,INTERSOS, MC, NCA, NRC, PUI, SFCG, SI, TDH",16,11.92160209,14.03668189
1.478029038,Girei,NG002005,Girei,Adamawa,Adamawa Central,1226.203628,1226.203628,Girei,"HKI, IRC, JRS, MSION, MC, PI, SFCG, WAN",8,9.45159609,12.4791708
2.641218283,Gujba,NG036007,Gujba,Yobe,Yobe East,3608.369238,3608.369238,Gujba,"ACF, CBMI, COOPI, DRC, IA, IRC, MSION, MC, NI, PI, SCI, SC",12,11.37053961,11.96137708
2.185715749,Gwoza,NG008011,Gwoza,Borno,Borno South,3046.112995,3046.112995,Gwoza,"ACF, CIVIC, CARE, DRC, eHealth Africa, HKI, IA, IRC, MC, MAG, NCA, NRC, PI, PUI, SFCG, SC, TF, TDH",18,11.16998796,13.58482072
2.233110848,Hong,NG002007,Hong,Adamawa,Adamawa Central,2747.767391,2747.767391,Hong,"HKI, MSION, MC",3,10.2990152,12.93315931
1.889571948,Jere,NG008013,Jere,Borno,Borno Central,880.582692,880.582692,Jere,"ACTED, ACF, ALIMA, CBMI, CIVIC, CARE, DRC, eHealth Africa, HAI, IA,IMC, IRC, MSION, MDM, MC, MAG, NRC, PI, SCI, SFCG, SIF, SC, Mentor, TWB, ZOA",25,11.91145231,13.17027689
2.325550818,Kaga,NG008014,Kaga,Borno,Borno Central,2683.239453,2683.239453,Kaga,"ACF, CBMI, COOPI, eHealth Africa, HKI, PI",6,11.64063577,12.47583326
1.871731437,Kala/Balge,NG008015,Kala/Balge,Borno,Borno Central,1962.783162,1962.783162,Kala/Balge,"ACF,IMC, PI, PUI, TDH",5,12.0405184,14.48068423
5.285050846,Konduga,NG008016,Konduga,Borno,Borno Central,6208.950437,6208.950437,Konduga,"ACTED, ACF, CBMI, CIVIC, CARE, DRC, eHealth Africa, HKI,IMC, IRC, MSION, MAG, NRC, PI, SCI, SIF, SC",17,11.61234996,13.08469356
2.46049797,Mafa,NG008019,Mafa,Borno,Borno Central,2981.753645,2981.753645,Mafa,"ACTED, ACF, CAID, DRC, HKI,IMC, IRC, MSION, PI, SCI, SFCG, SIF, TF, TDH",14,12.00857261,13.53499393
3.011608867,Magumeri,NG008020,Magumeri,Borno,Borno North,4947.424478,4947.424478,Magumeri,"ACF, eHealth Africa, IRC,INTERSOS, PI, SOS CV",6,12.17699276,12.63325294
0.519518471,Maiduguri,NG008021,Maiduguri,Borno,Borno Central,145.9677494,145.9677494,Maiduguri,"ACTED, ACF, ALIMA, CIVIC, HD Centre, CARE, DRC, eHealth Africa, HAI, IA,IMC, IRC,INTERSOS, JRS, MSION, MDM, MC, NRC, PI, PUI, RDHI, SCI, SFCG, SIF, SI, SOS CV, SC, TDH, Mentor, TWB",30,11.83652674,13.12034359
1.113935284,Michika,NG002013,Michika,Adamawa,Adamawa North,838.7208875,838.7208875,Michika,"CBMI, CAID, DRC, HKI, IRC, JRS, MSION, PI, SC",9,10.5747735,13.40454947
2.534844673,Mobbar,NG008023,Mobbar,Borno,Borno North,2849.502472,2849.502472,Mobbar,"ACF, eHealth Africa, FHI 360,INTERSOS, NRC, PI, PUI, SC",8,13.06878399,12.69016696
2.423727893,Monguno,NG008024,Monguno,Borno,Borno North,1985.186262,1985.186262,Monguno,"ACTED, ACF, CBMI, CIVIC, CAID,IMC, IRC,INTERSOS, MC, MAG, NCA, NRC, PI, PUI, SI, SC, Mentor, ZOA",18,12.54211811,13.61973615
1.04665665,Mubi North,NG002014,Mubi North,Adamawa,Adamawa North,778.4646365,778.4646365,Mubi North,"CBMI, DRC, HKI, IRC, MSION, MC, PI, RDHI, SC",9,10.36272534,13.35944989
0.974724224,Mubi South,NG002015,Mubi South,Adamawa,Adamawa North,518.829044,518.829044,Mubi South,"CBMI, DRC, HKI, IRC, MSION, MC, SC",7,10.18173118,13.30435072
1.807494497,Ngala,NG008025,Ngala,Borno,Borno Central,1510.905873,1510.905873,Ngala,"ACF, CIVIC, CARE, DRC, eHealth Africa, FHI 360, IA,IMC,INTERSOS, MC, PI, PUI, SI",13,12.24002458,14.17949347
1.602771686,Numan,NG002016,Numan,Adamawa,Adamawa South,857.4584471,857.4584471,Numan,"HKI, IRC, MSION, MC, SFCG",5,9.442125425,11.8196584
0.905952863,Potiskum,NG036014,Potiskum,Yobe,Yobe South,600.557666,600.557666,Potiskum,"ACF, CBMI, CARE, IA, IRC, MSION, MC, NI, PI, SCI, WAN",11,11.70694147,11.16586539
0.274342901,Yola North,NG002020,Yola North,Adamawa,Adamawa Central,65.21086774,65.21086774,Yola North,"DRC, HAI, HKI, IRC, MSION, MC, NRC, PI, SCI, SFCG",10,9.257107719,12.43988173
1.657037589,Yola South,NG002021,Yola South,Adamawa,Adamawa Central,955.63753,955.63753,Yola South,"DRC, eHealth Africa, HKI, IRC, MSION, MC, NRC, PI, SCI, TWB",10,9.260374089,12.33660994
1.901653999,Bade,NG036001,Bade,Yobe,Yobe North,875.8710414,875.8710414,Bade,"ACF, CARE, COOPI, IRC, MSION, NI, PI, SCI, SC",9,12.73013619,10.88622934
1.435857183,Bayo,NG008004,Bayo,Borno,Borno South,978.5740275,978.5740275,Bayo,"ACF, MSION",2,10.40508273,11.70198936
2.564246146,Biu,NG008005,Biu,Borno,Borno South,3400.886365,3400.886365,Biu,"ACF, eHealth Africa, JRS, MSION, MC, SCI, WAN, ZOA",8,10.7969909,12.09838233
2.394300535,Bursari,NG036002,Bursari,Yobe,Yobe East,4009.713323,4009.713323,Bursari,"ACF, AAN, MSION, NI, PI",5,12.71415551,11.4199543
